Location ID,Observed Property ID,Analyzed DateTime,Depth,Depth Unit,Data Classification,Result Value,Result Unit,Lab: MDL,Latitude,Longitude
FB,Coccoid Blue Green Picoplankton_Cell count,2023-02-20 17:01:00.000+10:00,,,LAB,186790,cells/ml,,-33.7272,150.692296
FB,Microcystis_Biovolume,2023-02-20 17:01:00.000+10:00,,,LAB,0.109,mm3/l,,-33.7272,150.692296
FB,Aphanizomenonaceae_Cell count,2023-02-20 17:01:00.000+10:00,,,LAB,661,cells/ml,,-33.7272,150.692296
FB,Potentially Toxic Cyanobacteria Biovolume,2023-02-20 17:01:00.000+10:00,,,LAB,0.373,mm3/l,,-33.7272,150.692296
FB,Merismopedia_Cell count,2023-02-20 17:01:00.000+10:00,,,LAB,1106,cells/ml,,-33.7272,150.692296
FB,Dolichospermum_Cell count,2023-02-20 17:01:00.000+10:00,,,LAB,52,cells/ml,,-33.7272,150.692296
FB,Chlorophyll - a,2023-02-20 17:01:00.000+10:00,,,LAB,5,mg/m^3,,-33.7272,150.692296
FB,Raphidiopsis raciborskii_Biovolume,2023-02-20 17:01:00.000+10:00,,,LAB,0.188,mm3/l,,-33.7272,150.692296
FB,Enterococci,2023-02-20 17:01:00.000+10:00,,,LAB,1,cfu/100ml,,-33.7272,150.692296
FB,Dolichospermum_Biovolume,2023-02-20 17:01:00.000+10:00,,,LAB,0.008,mm3/l,,-33.7272,150.692296
FB,Coccoid Blue Green Picoplankton_Biovolume,2023-02-20 17:01:00.000+10:00,,,LAB,0.084,mm3/l,,-33.7272,150.692296
FB,Merismopedia_Biovolume,2023-02-20 17:01:00.000+10:00,,,LAB,0.009,mm3/l,,-33.7272,150.692296
FB,Total Cyanobacteria,2023-02-20 17:01:00.000+10:00,,,LAB,199000,cells/ml,,-33.7272,150.692296
FB,Microcystis_Cell count,2023-02-20 17:01:00.000+10:00,,,LAB,3954,cells/ml,,-33.7272,150.692296
FB,Cyanobacteria Biovolume,2023-02-20 17:01:00.000+10:00,,,LAB,0.466,mm3/l,,-33.7272,150.692296
FB,Potentially Toxic Cyanobacteria,2023-02-20 17:01:00.000+10:00,,,LAB,11080,cells/ml,,-33.7272,150.692296
FB,Potentially Toxic Cyanobacteria,2023-03-05 +10:00,,,LAB,2840,cells/ml,,-33.7272,150.692296
FB,Microcystis_Cell count,2023-03-05 +10:00,,,LAB,2157,cells/ml,,-33.7272,150.692296
FB,Coccoid Blue Green Picoplankton_Cell count,2023-03-05 +10:00,,,LAB,691,cells/ml,,-33.7272,150.692296
FB,Microcystis species 2_Biovolume,2023-03-05 +10:00,,,LAB,0.058,mm3/l,,-33.7272,150.692296
FB,Total Cyanobacteria,2023-03-05 +10:00,,,LAB,4500,cells/ml,,-33.7272,150.692296
FB,Potentially Toxic Cyanobacteria Biovolume,2023-03-05 +10:00,,,LAB,0.118,mm3/l,,-33.7272,150.692296
FB,Pseudanabaena_Biovolume,2023-03-05 +10:00,,,LAB,0.009,mm3/l,,-33.7272,150.692296
FB,Pseudanabaena_Cell count,2023-03-05 +10:00,,,LAB,968,cells/ml,,-33.7272,150.692296
FB,Cyanobacteria Biovolume,2023-03-05 +10:00,,,LAB,0.127,mm3/l,,-33.7272,150.692296
FB,Microcystis_Biovolume,2023-03-05 +10:00,,,LAB,0.06,mm3/l,,-33.7272,150.692296
FB,Microcystis species 2_Cell count,2023-03-05 +10:00,,,LAB,684,cells/ml,,-33.7272,150.692296
FB,Chlorophyll - a,2023-03-05 +10:00,,,LAB,72.9,mg/m^3,,-33.7272,150.692296
FB,Enterococci,2023-03-05 +10:00,,,LAB,6,cfu/100ml,,-33.7272,150.692296
FB,Coccoid Blue Green Picoplankton_Biovolume,2023-03-05 +10:00,,,LAB,0,mm3/l,,-33.7272,150.692296
FB,Dissolved Reactive Phosphorus as P,2023-03-06 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Nitrate as N,2023-03-06 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Total Nitrogen as N,2023-03-06 12:00:00.000+10:00,,,LAB,0.5,mg/L,0.1,-33.7272,150.692296
FB,Total Kjeldahl Nitrogen as N,2023-03-06 12:00:00.000+10:00,,,LAB,0.5,mg/L,0.1,-33.7272,150.692296
FB,Ammonia as N,2023-03-06 12:00:00.000+10:00,,,LAB,0.01,mg/L,0.01,-33.7272,150.692296
FB,Nitrite + Nitrate as N,2023-03-06 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Total Phosphorus as P,2023-03-06 12:00:00.000+10:00,,,LAB,0.02,mg/L,0.01,-33.7272,150.692296
FB,Nitrite as N,2023-03-06 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Total suspended solids,2023-03-06 12:00:00.000+10:00,,,LAB,,mg/L,5,-33.7272,150.692296
FB,Merismopedia_Biovolume,2023-03-06 18:07:00.000+10:00,,,LAB,0.024,mm3/l,,-33.7272,150.692296
FB,Cyanobacteria Biovolume,2023-03-06 18:07:00.000+10:00,,,LAB,0.185,mm3/l,,-33.7272,150.692296
FB,Potentially Toxic Cyanobacteria Biovolume,2023-03-06 18:07:00.000+10:00,,,LAB,0.019,mm3/l,,-33.7272,150.692296
FB,Merismopedia_Cell count,2023-03-06 18:07:00.000+10:00,,,LAB,2950,cells/ml,,-33.7272,150.692296
FB,Microcystis_Biovolume,2023-03-06 18:07:00.000+10:00,,,LAB,0.019,mm3/l,,-33.7272,150.692296
FB,Chlorophyll - a,2023-03-06 18:07:00.000+10:00,,,LAB,5.1,mg/m^3,,-33.7272,150.692296
FB,Potentially Toxic Cyanobacteria,2023-03-06 18:07:00.000+10:00,,,LAB,691,cells/ml,,-33.7272,150.692296
FB,Total Cyanobacteria,2023-03-06 18:07:00.000+10:00,,,LAB,318200,cells/ml,,-33.7272,150.692296
FB,Enterococci,2023-03-06 18:07:00.000+10:00,,,LAB,1,cfu/100ml,,-33.7272,150.692296
FB,Coccoid Blue Green Picoplankton_Cell count,2023-03-06 18:07:00.000+10:00,,,LAB,314559,cells/ml,,-33.7272,150.692296
FB,Microcystis_Cell count,2023-03-06 18:07:00.000+10:00,,,LAB,691,cells/ml,,-33.7272,150.692296
FB,Coccoid Blue Green Picoplankton_Biovolume,2023-03-06 18:07:00.000+10:00,,,LAB,0.142,mm3/l,,-33.7272,150.692296
FB,Nitrate as N,2023-03-20 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Nitrite + Nitrate as N,2023-03-20 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Ammonia as N,2023-03-20 12:00:00.000+10:00,,,LAB,0.02,mg/L,0.01,-33.7272,150.692296
FB,Total Kjeldahl Nitrogen as N,2023-03-20 12:00:00.000+10:00,,,LAB,0.6,mg/L,0.1,-33.7272,150.692296
